NUMBER_PR,SYSTEM,URL,NFR_TYPE,PHRASE,KEYWORDS,LOCATION,OBS
27992,Spring Framework,https://github.com/spring-projects/spring-framework/pull/27992,"Robustness, Performance","""Hence,
the possibility to find several matching signatures by just using
the schema name, catalog name and procedure/function name is real.""",,,
28658,Spring Framework,https://github.com/spring-projects/spring-framework/pull/28658,None,,,,
23762,Spring Framework,https://github.com/spring-projects/spring-framework/pull/23762,None,,,,
1655,Spring Framework,https://github.com/spring-projects/spring-framework/pull/1655,None,,,,
23847,Spring Framework,https://github.com/spring-projects/spring-framework/pull/23847,None,,,,
62,Spring Framework,https://github.com/spring-projects/spring-framework/pull/62,None,,,,
25062,Spring Framework,https://github.com/spring-projects/spring-framework/pull/25062,Performance,"""Reduce unnecessary loops in PostProcessorRegistrationDelegate""",Reduce,Title,
22334,Spring Framework,https://github.com/spring-projects/spring-framework/pull/22334,None,,,,
25951,Spring Framework,https://github.com/spring-projects/spring-framework/pull/25951,None,,,,
829,Spring Framework,https://github.com/spring-projects/spring-framework/pull/829,Maintainability,"""Instead of having to use the default constructor then calling #setObjectMapper(ObjectMapper), this constructor allows the MappingJackson2JsonView to be created and configured with the desired object mapper in one step.""",Allows,Description,
1455,Spring Framework,https://github.com/spring-projects/spring-framework/pull/1455,None,,,,
273,Spring Framework,https://github.com/spring-projects/spring-framework/pull/273,Maintainability,"""Support specifying time zone for @Scheduled cron""",Support,Title,
325,Spring Framework,https://github.com/spring-projects/spring-framework/pull/325,None,,,,
345,Spring Framework,https://github.com/spring-projects/spring-framework/pull/345,Robustness,"""Fix NPE in JettyRequestUpgradeStrategy""",Fix,Title,
27494,Spring Framework,https://github.com/spring-projects/spring-framework/pull/27494,None,,,,
27334,Spring Framework,https://github.com/spring-projects/spring-framework/pull/27334,Maintainability,"""simplify if statement""",Simplify,Title,
1976,Spring Framework,https://github.com/spring-projects/spring-framework/pull/1976,None,,,,
971,Spring Framework,https://github.com/spring-projects/spring-framework/pull/971,None,,,,
1611,Spring Framework,https://github.com/spring-projects/spring-framework/pull/1611,None,,,,
1795,Spring Framework,https://github.com/spring-projects/spring-framework/pull/1795,None,,,,
1865,Spring Framework,https://github.com/spring-projects/spring-framework/pull/1865,None,,,,
2060,Spring Framework,https://github.com/spring-projects/spring-framework/pull/2060,Maintainability,"""These mechanisms can be used in other test frameworks, and are already very well documented and tested.""",Test,Description,
27567,Spring Framework,https://github.com/spring-projects/spring-framework/pull/27567,Robustness,"""Fix assertion failure messages in DefaultDataBuffer.checkIndex()""",Failure,Title,
24344,Spring Framework,https://github.com/spring-projects/spring-framework/pull/24344,None,,,,
823,Spring Framework,https://github.com/spring-projects/spring-framework/pull/823,None,,,,
27442,Spring Framework,https://github.com/spring-projects/spring-framework/pull/27442,None,,,,
27891,Spring Framework,https://github.com/spring-projects/spring-framework/pull/27891,None,,,,
1943,Spring Framework,https://github.com/spring-projects/spring-framework/pull/1943,None,,,,
26487,Spring Framework,https://github.com/spring-projects/spring-framework/pull/26487,Robustness,"""As a result, Spring RSocket app that has ProtobufDecoder configured can not receive a payload with application/vnd.google.protobuf data mime type.""",Payload,Description,
26641,Spring Framework,https://github.com/spring-projects/spring-framework/pull/26641,Robustness,"""No need to invoke doResolveDependency() repeatedly since target is already created.""",Repeatedly,Description,
1486,Spring Framework,https://github.com/spring-projects/spring-framework/pull/1486,None,,,,
924,Spring Framework,https://github.com/spring-projects/spring-framework/pull/924,Robustness,"""This ultimately lead to problems with the GenericConversionService cache returning the ""wrong"" conditional converter in my application.""",Problems,Description,
1070,Spring Framework,https://github.com/spring-projects/spring-framework/pull/1070,Robustness,"""MethodBasedEvaluationContext.lazyLoadArguments fails for an empty variable arguments method call
java.lang.ArrayIndexOutOfBoundsException at MethodBasedEvaluationContextTests.java:70""",Fails,Description,
1229,Spring Framework,https://github.com/spring-projects/spring-framework/pull/1229,None,,,,
27291,Spring Framework,https://github.com/spring-projects/spring-framework/pull/27291,None,-,-,-,-
1981,Spring Framework,https://github.com/spring-projects/spring-framework/pull/1981,Performance,Allow applications that use uber jar to benefit from cached entries rather than using the slow jar lookup for component scanning.,benefit from cached entries rather than using the slow jar lookup,Description,
1719,Spring Framework,https://github.com/spring-projects/spring-framework/pull/1719,Maintainability,Polish: constant names should comply with a naming convention,naming convention,Title,"Não foi feito, pois era um padrão diferente do projeto"
194,Spring Framework,https://github.com/spring-projects/spring-framework/pull/194,Robustness,Previously CallableProcessingInterceptor and DeferredResultProcessingInterceptor did not have support for capturing the state of the original Thread just prior to processing. This made it difficult to transfer the state of one Thread (i.e. ThreadLocal) to the Thread used to process the Callable.,"This made it
difficult to transfer the state of one Thread (i.e. ThreadLocal) to the
Thread used to process the Callable.",Description,
421,Spring Framework,https://github.com/spring-projects/spring-framework/pull/421,None,-,-,-,-
1920,Spring Framework,https://github.com/spring-projects/spring-framework/pull/1920,None,-,-,-,-
1269,Spring Framework,https://github.com/spring-projects/spring-framework/pull/1269,Performance,We have large result sets that are affected by the inefficiency of the LinkedCaseInsensitiveMap returned by the ColumnMapRowMapper. The problem can be fixed if we can just override getColumnMapRowMapper().,affected by the inefficiency,Description,
